,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,,氣管、支氣管和肺癌,,肝和肝內膽管癌,,結腸、直腸和肛門癌,,胃癌,,口腔癌,,女性乳癌,,食道癌,,胰臟癌,,非何杰金氏淋巴瘤,,前列腺(攝護腺)癌,,白血病,,子宮頸及部位未明示子宮癌,,鼻咽癌,,膀胱癌,,卵巢癌,
,第一位,,第二位,,第三位,,第五位,,第六位,,第四位,,第九位,,第十位,,第十一位,,第七位,,第十二位,,第八位,,第十四位,,第十五位,,第十三位,,第一位,,第二位,,第三位,,第五位,,第六位,,第四位,,第八位,,第九位,,第十二位,,第七位,,第十一位,,第十位,,第十五位,,第十四位,,第十三位,,第一位,,第二位,,第三位,,第六位,,第五位,,第四位,,第八位,,第九位,,第十一位,,第七位,,第十二位,,第十位,,第十五位,,第十四位,,第十三位,,第一位,,第二位,,第三位,,第六位,,第五位,,第四位,,第九位,,第八位,,第十一位,,第七位,,第十三位,,第十位,,第十五位,,第十四位,,第十二位,,第一位,,第二位,,第三位,,第六位,,第五位,,第四位,,第九位,,第八位,,第十二位,,第七位,,第十三位,,第十位,,第十五位,,第十四位,,第十一位,,第一位,,第二位,,第三位,,第七位,,第五位,,第四位,,第九位,,第八位,,第十二位,,第六位,,第十三位,,第十位,,第十五位,,第十四位,,第十一位,,第一位,,第二位,,第三位,,第七位,,第五位,,第四位,,第九位,,第八位,,第十一位,,第六位,,第十三位,,第十位,,第十五位,,第十四位,,第十二位,
,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用,人數,費用
嘉義縣太保市,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65~69歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女,1,0,9,438233,8,319674,2,46370,1,255892,5,117878,0,0,0,0,0,0,0,0,1,5411,4,26015,0,0,0,0,2,202247,5,759618,8,306779,9,282040,4,37883,1,10120,5,30798,0,0,0,0,0,0,0,0,0,0,1,31056,1,6863,2,105008,1,177458,5,1013460,9,371817,16,397454,3,161909,1,11637,8,550546,0,0,0,0,0,0,0,0,0,0,1,16776,0,14967,3,33626,1,200211,2,403189,3,321113,6,183921,5,231757,0,0,8,765918,0,0,0,0,0,0,0,0,0,0,2,35943,1,13125,1,3548,0,0,2,537493,5,65783,3,35845,6,141271,0,0,6,552618,0,0,1,112012,0,0,0,0,0,0,3,10539,1,19304,1,3551,0,0,3,422229,4,131971,9,340721,3,54603,0,0,11,870036,0,0,1,130967,0,0,0,0,0,0,1,697,1,22054,1,3551,0,0,3,748064,6,60326,10,1221139,1,12053,1,11747,14,1849312,0,0,0,0,1,3984,0,0,1,1108,1,0,1,2842,2,3553,0,0
70~74歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女,2,474436,7,175522,10,601122,1,67053,0,0,1,133352,0,0,0,0,2,33875,0,0,1,1640,1,3880,0,0,3,27302,2,388301,3,122061,9,612678,6,338245,2,32486,1,816,3,200868,0,0,2,505843,2,183551,0,0,0,0,2,19404,0,0,3,70204,2,1155817,2,749187,9,738025,5,198870,3,13658,0,0,6,94937,0,0,1,92144,2,8940,0,0,0,0,2,31561,0,0,2,555,2,566970,5,1612881,8,281089,7,272179,3,326537,1,482,8,470234,0,0,0,0,2,36702,0,0,1,0,4,293358,1,2383,0,0,1,897,5,2622748,4,271213,7,68870,2,71434,1,1439,10,579290,0,0,0,0,2,69881,0,0,1,0,4,94918,1,1422,0,0,1,667,10,1525014,6,1035191,8,182514,3,69636,1,710,10,765167,0,0,0,0,2,224737,0,0,1,0,3,50758,0,0,0,0,1,667,6,1103108,5,7704,10,458637,4,58667,2,567020,10,1175550,0,0,1,277475,2,110616,0,0,1,0,1,757,0,0,0,0,0,0
75~79歲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
