地區,2004白血病,2004膀胱,2004非何杰金氏淋巴瘤,2004肺、支氣管及氣管,2004肝及肝內膽管,2004結腸,2004口腔、口咽及下咽,2004攝護腺,2004食道,2004胃,2004胰,2004直腸與肛門,2005白血病,2005膀胱,2005非何杰金氏淋巴瘤,2005肺、支氣管及氣管,2005肝及肝內膽管,2005結腸,2005口腔、口咽及下咽,2005攝護腺,2005食道,2005胃,2005胰,2005直腸與肛門,2006白血病,2006膀胱,2006非何杰金氏淋巴瘤,2006肺、支氣管及氣管,2006肝及肝內膽管,2006結腸,2006口腔、口咽及下咽,2006攝護腺,2006食道,2006胃,2006胰,2006直腸與肛門,2007白血病,2007膀胱,2007非何杰金氏淋巴瘤,2007肺、支氣管及氣管,2007肝及肝內膽管,2007結腸,2007口腔、口咽及下咽,2007攝護腺,2007食道,2007胃,2007胰,2007直腸與肛門,2008白血病,2008膀胱,2008非何杰金氏淋巴瘤,2008肺、支氣管及氣管,2008肝及肝內膽管,2008結腸,2008口腔、口咽及下咽,2008攝護腺,2008食道,2008胃,2008胰,2008直腸與肛門,2009白血病,2009膀胱,2009非何杰金氏淋巴瘤,2009肺、支氣管及氣管,2009肝及肝內膽管,2009結腸,2009口腔、口咽及下咽,2009攝護腺,2009食道,2009胃,2009胰,2009直腸與肛門,2010白血病,2010膀胱,2010非何杰金氏淋巴瘤,2010肺、支氣管及氣管,2010肝及肝內膽管,2010結腸,2010口腔、口咽及下咽,2010攝護腺,2010食道,2010胃,2010胰,2010直腸與肛門,2011白血病,2011膀胱,2011非何杰金氏淋巴瘤,2011肺、支氣管及氣管,2011肝及肝內膽管,2011結腸,2011口腔、口咽及下咽,2011攝護腺,2011食道,2011胃,2011胰,2011直腸與肛門,2012白血病,2012膀胱,2012非何杰金氏淋巴瘤,2012肺、支氣管及氣管,2012肝及肝內膽管,2012結腸,2012口腔、口咽及下咽,2012攝護腺,2012食道,2012胃,2012胰,2012直腸與肛門,2013白血病,2013膀胱,2013非何杰金氏淋巴瘤,2013肺、支氣管及氣管,2013肝及肝內膽管,2013結腸,2013口腔、口咽及下咽,2013攝護腺,2013食道,2013胃,2013胰,2013直腸與肛門
嘉義市東區,43.43,30.09,18.03,308.97,408.98,214.04,63.95,168.41,66.46,110.39,10.97,40.93,11.73,41.39,88.77,316.3,493.69,276.57,121.26,215.53,46.46,67.46,36.23,90.55,65.65,35.85,0,300.04,396.6,77.44,15.94,246.84,29.89,168.72,0,234.53,62.47,88.04,23.54,281.17,303.32,150.43,63.91,223.17,57.46,53.03,46.57,151.61,67.45,88.74,28.88,302.91,297.45,125.88,143.95,235.4,13.07,57.11,30.89,137.01,72.04,152.27,87.54,323.18,429.55,158.61,188.5,210.97,40.99,76.03,53.18,199.62,35.47,81.6,133.38,287.75,395.25,225.31,243.33,230.51,29.03,131.86,32.76,176.38,67.85,43.28,25.18,426.25,328.27,201.27,103.85,269.76,38.9,110.65,10.07,160.19,0,123.21,56.46,335.19,384.23,291.06,78.87,250.74,29.12,161.04,50.08,66.98,72,85.21,62.18,184,404.07,330.02,134.19,273.72,15.17,138.52,68.02,190.51
嘉義市西區,33.93,45.55,49.71,192.38,707.5,185.03,169.27,132.75,51.66,140.72,61.54,87.14,31.09,116.92,15.18,498.64,474.24,166.02,121.86,184.41,28.64,90.13,48.72,180.83,0,13,0,327.03,471.01,309.21,112.38,207.14,33.94,93.35,30,214.25,0,73.09,24.28,233.04,466.29,107.6,99.65,184.83,33.64,43.22,16.82,122.11,27.34,114.41,32.28,189.38,468.81,296.35,138.68,203.05,29.88,57.18,57.23,203.97,29.64,73.23,15.54,209.55,515.03,220.31,177.96,220.31,119.76,65.71,42.65,132.07,35.72,45.25,71.85,286.48,489.36,288.47,110.12,239.54,27.94,50.74,39.16,157.22,63.42,89.91,31.09,464.62,502.88,251.75,194.08,165.53,41.67,42.9,27.5,144.48,41.29,58.75,9.7,230.94,283.23,374.63,112.15,242.86,14.17,159.44,41.29,242.71,45.61,47.12,77.07,235.81,523.87,308.58,116.93,253.42,13.04,166.87,82.31,167.8
嘉義縣阿里山鄉,0,0,240.69,0,0,393.39,0,0,0,298.1,0,0,0,0,0,0,0,0,0,0,0,335.37,0,579.27,0,0,0,281.43,377.17,281.43,0,704.35,0,0,0,0,0,0,0,377.17,377.17,0,0,0,0,0,0,0,0,0,0,261.32,613.26,0,0,0,0,215.21,0,0,0,0,0,0,691.77,0,353.02,211.07,0,0,0,211.07,0,0,0,0,311.97,0,0,0,0,0,0,0,0,0,315.64,315.64,1142.53,0,0,0,0,0,0,0,0,501.68,0,389.21,389.21,0,0,228.66,0,0,0,0,0,0,0,597.28,295.04,0,0,295.04,358.68,192.55,0,0
嘉義縣布袋鎮,38.55,198.38,101.99,874.38,698.68,63.44,91.54,226.36,0,38.55,48.14,77.1,0,238.35,89.23,558.92,705.16,81.88,89.98,350.98,81.88,214.67,0,128.31,43.04,197.65,0,796.55,509.69,189.19,64.56,192.79,86.08,188.3,73.91,205.33,0,169.16,79.4,937.81,390.6,394.59,185.54,94.98,0,69.03,45.28,224.65,0,284.54,0,727.87,376.07,100.46,126.52,250.77,0,160.81,128.64,174.23,35.11,130.48,46.31,690.6,172.8,289.61,324.72,188.28,74.22,70.22,39.11,91.37,0,118.49,0,684.29,242.14,223.01,95.31,233.95,0,0,44.44,161.83,0,150.74,0,626.56,215.41,216.35,205.13,307.9,38.83,96.8,0,102.56,39.98,153.13,0,665.34,340.71,123.48,0,323.64,66.76,90.53,0,79.97,0,244.45,0,695.1,528.06,142.82,132.22,255.27,168.64,144.83,0,162.33
嘉義縣大埔鄉,0,425.86,0,0,0,0,463.11,0,0,463.11,0,0,0,0,0,1001.74,479.09,0,0,0,0,0,0,0,0,0,0,385.11,760.89,0,0,0,0,0,0,0,0,0,0,393.39,0,304.88,0,0,0,0,0,0,0,0,0,0,0,0,0,406.5,0,0,0,0,0,0,0,0,440.79,345.14,345.14,0,0,0,0,394.55,0,0,0,0,0,663.56,836.57,0,469.04,469.04,0,367.52,0,292.68,0,377.88,0,0,962.77,0,0,0,0,0,0,0,0,538.02,353.02,0,538.02,0,0,0,0,0,0,0,0,326.66,0,252.31,0,419.21,0,0,0,0
嘉義縣大林鎮,79.01,98.1,31.38,381.27,354.22,133.45,122.66,137.44,75.03,149.7,79.01,141.43,30.74,127.09,0,352.71,439.51,210.32,121.92,201.18,61.49,30.74,74.09,138.49,108.19,31.48,63.58,550.59,464.65,238.74,35.49,255.82,156.81,63.58,0,90.33,62.22,70.45,0,337.73,235.37,166.46,44.51,190.57,80.91,83.85,0,205.83,152.58,0,103.09,489.08,322.41,292.12,103.09,212.76,0,76.22,74.56,233.35,36.06,62.64,66.1,451.5,274.83,108.87,151.94,288.03,98.88,184.88,30.04,121.9,33.41,61.59,0,200.41,349.45,151.37,91.77,150.71,36.06,96.43,54.36,218.83,0,57.71,0,259,404.51,151.24,27.61,275.51,0,93.08,83.53,123.95,52.08,120.25,57.25,384.38,536.18,240.5,86.03,230.8,57.25,112.67,0,283.83,0,154.74,49.78,308.8,482.91,202.49,55.02,55.02,85.15,119.11,149.14,158.21
嘉義縣東石鄉,37.95,45.73,37.95,312.85,338.29,112.51,91.58,368.87,45.79,121.69,0,187.06,0,139.91,0,519.32,681.17,211.29,81.2,79.87,72.37,301.84,44.35,264.46,0,32.72,0,532.56,434.57,43.21,175.91,44.35,45.73,38.71,0,175.91,0,37.68,0,242.18,355.76,48.59,0,193.25,37.68,156.27,70,172.19,30.44,30.44,44.08,380.73,578.75,51.31,184.37,421.15,51.31,187.44,0,227.3,0,0,30.59,537.26,440.85,30.59,107.29,342.04,175.51,53.64,0,53.64,0,74.73,0,171.87,340.98,135.32,165.84,188.25,0,37.37,36.95,322.35,0,27.1,0,420.88,226.62,110.67,166.98,397.95,0,104.87,60,190.19,0,31.87,41.4,327.64,451.27,455.12,82.81,105.14,41.4,0,0,223.08,0,136.99,0,446.42,648.77,32.26,87.53,276.26,72.46,89.65,0,211.57
嘉義縣番路鄉,113.2,113.2,0,512.23,501.79,0,102.77,245.68,0,0,0,130.66,0,0,227.95,100.69,103.94,227.95,308.57,240.87,0,0,0,0,0,99.78,0,420.92,255.85,476.56,0,0,0,0,0,212.09,0,0,98.88,0,138.06,0,0,329.6,0,0,98.88,97.13,0,0,95.03,420.32,453.8,92.39,266.54,123.07,0,0,0,0,0,119.24,0,525.95,142.36,0,92.86,290.74,0,0,0,533.29,155.02,0,0,310.05,155.02,83.15,310.05,114.17,0,0,0,0,0,79.53,0,545.83,305.83,0,305.83,198.33,0,0,0,267.78,0,0,0,303.64,437.12,157.7,92.39,511.39,92.39,290.4,0,0,0,0,0,429.37,490.94,223.58,0,0,0,68.6,0,273.72
嘉義縣六腳鄉,0,252.42,37.72,492.77,499.22,139.36,83.05,243.79,0,93.01,45.34,0,36.9,0,0,544.11,406.5,155.33,83.69,203.05,46.78,35.38,70.76,295.1,0,32.9,32.9,365,408.77,45.5,91.01,286.29,38.77,117.18,79.42,129.48,88.44,0,127.95,356.34,630.75,88.44,0,71.27,0,36.95,0,63.52,76.79,201.91,0,224.12,310.39,70.59,75.16,121.36,0,114.63,38.94,238.14,0,167.34,0,334.82,138.49,119.92,134.46,296.84,119.92,65.78,71.31,167.34,106.4,87.04,0,578.38,447.03,333.78,245.99,123,0,29.58,0,109.98,0,0,0,429.99,426.28,296.46,126.55,100.43,147.29,28,0,134.1,32.67,26.97,0,261.41,282.68,121.87,34.26,125.68,0,37.73,138.91,189.8,72.23,146.16,116.33,552.12,270.24,85.71,91.06,255.9,60.45,72.23,38.16,26.38
嘉義縣鹿草鄉,0,170.16,56.72,491.69,268.4,0,67.13,127.9,0,0,0,195.03,66.52,0,0,332.82,475.14,55.66,244.13,186.9,66.52,188.47,122.18,288.94,0,0,0,352.1,363.76,199.75,65.68,125.11,0,182.38,0,167.09,0,116.41,67.13,593.87,787.07,114.37,53.33,109.93,0,0,0,67.13,0,0,0,345.31,429.45,62.54,68.64,106.77,0,118.82,0,57.33,0,48.52,0,350.57,514.92,113.44,0,170.07,56.72,0,0,0,56.13,46.43,0,287.33,373.97,261.72,0,56.13,0,46.43,0,175.07,0,99.29,103.09,91.69,91.69,102.58,136.67,146,91.69,0,99.29,248.58,0,0,0,581.85,430.53,90.71,245.38,193.51,0,138.98,0,236.14,0,155.82,0,583.25,340.08,216.57,267.7,286.94,56.96,47.51,41.89,146.19
