城市,年齡,年份,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,癌症,人數,費用,年份,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用,,人數,費用
嘉義縣太保市,65~69歲,2008,氣管、支氣管和肺癌,1,0,肝和肝內膽管癌,9,438233,結腸、直腸和肛門癌,8,319674,胃癌,2,46370,口腔癌,1,255892,女性乳癌,5,117878,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,1,5411,子宮頸及部位未明示子宮癌,4,26015,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,2,202247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣太保市,70~74歲,2008,氣管、支氣管和肺癌,2,474436,肝和肝內膽管癌,7,175522,結腸、直腸和肛門癌,10,601122,胃癌,1,67053,口腔癌,0,0,女性乳癌,1,133352,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,2,33875,前列腺(攝護腺)癌,0,0,白血病,1,1640,子宮頸及部位未明示子宮癌,1,3880,鼻咽癌,0,0,膀胱癌,3,27302,卵巢癌,2,388301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣太保市,75~79歲,2008,氣管、支氣管和肺癌,2,178109,肝和肝內膽管癌,8,209034,結腸、直腸和肛門癌,7,289344,胃癌,2,7840,口腔癌,2,483,女性乳癌,2,39200,食道癌,0,3304,胰臟癌,0,0,非何杰金氏淋巴瘤,1,713,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,2,6437,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,1,1326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣太保市,80~84歲,2008,氣管、支氣管和肺癌,1,166570,肝和肝內膽管癌,0,24344,結腸、直腸和肛門癌,4,239664,胃癌,2,29806,口腔癌,0,0,女性乳癌,1,218432,食道癌,2,23131,胰臟癌,2,291718,非何杰金氏淋巴瘤,2,1251,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,1,19589,鼻咽癌,0,0,膀胱癌,2,21834,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣太保市,85歲以上,2008,氣管、支氣管和肺癌,0,0,肝和肝內膽管癌,0,0,結腸、直腸和肛門癌,6,401963,胃癌,0,0,口腔癌,0,0,女性乳癌,1,1736,食道癌,1,185,胰臟癌,1,553,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,3,393776,鼻咽癌,0,0,膀胱癌,0,0,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣太保市,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,65~69歲,2008,氣管、支氣管和肺癌,4,488430,肝和肝內膽管癌,6,380642,結腸、直腸和肛門癌,11,292397,胃癌,3,121370,口腔癌,0,0,女性乳癌,13,1428285,食道癌,0,0,胰臟癌,2,0,非何杰金氏淋巴瘤,2,35843,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,5,35262,鼻咽癌,0,0,膀胱癌,2,5190,卵巢癌,2,470596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,70~74歲,2008,氣管、支氣管和肺癌,10,1959980,肝和肝內膽管癌,8,339200,結腸、直腸和肛門癌,11,621311,胃癌,2,354188,口腔癌,0,0,女性乳癌,7,470331,食道癌,0,0,胰臟癌,2,407074,非何杰金氏淋巴瘤,0,16164,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,5,138404,鼻咽癌,1,3906,膀胱癌,7,93051,卵巢癌,2,335930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,75~79歲,2008,氣管、支氣管和肺癌,3,337228,肝和肝內膽管癌,8,254769,結腸、直腸和肛門癌,18,661742,胃癌,3,16745,口腔癌,1,0,女性乳癌,3,291701,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,1,1618,前列腺(攝護腺)癌,0,0,白血病,2,360289,子宮頸及部位未明示子宮癌,2,33233,鼻咽癌,0,0,膀胱癌,1,40448,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,80~84歲,2008,氣管、支氣管和肺癌,2,0,肝和肝內膽管癌,2,123890,結腸、直腸和肛門癌,9,299581,胃癌,1,4243,口腔癌,0,0,女性乳癌,1,634,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,1,295119,前列腺(攝護腺)癌,0,0,白血病,0,366887,子宮頸及部位未明示子宮癌,2,1565,鼻咽癌,0,0,膀胱癌,1,60436,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,85歲以上,2008,氣管、支氣管和肺癌,0,0,肝和肝內膽管癌,3,27928,結腸、直腸和肛門癌,6,378465,胃癌,1,0,口腔癌,0,0,女性乳癌,1,8591,食道癌,0,0,胰臟癌,0,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,0,0,鼻咽癌,0,0,膀胱癌,2,89376,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣朴子市,,2008,氣管、支氣管和肺癌,,,肝和肝內膽管癌,,,結腸、直腸和肛門癌,,,胃癌,,,口腔癌,,,女性乳癌,,,食道癌,,,胰臟癌,,,非何杰金氏淋巴瘤,,,前列腺(攝護腺)癌,,,白血病,,,子宮頸及部位未明示子宮癌,,,鼻咽癌,,,膀胱癌,,,卵巢癌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣布袋鎮,65~69歲,2008,氣管、支氣管和肺癌,9,1771103,肝和肝內膽管癌,11,220351,結腸、直腸和肛門癌,8,129081,胃癌,1,242045,口腔癌,0,0,女性乳癌,10,1100209,食道癌,0,0,胰臟癌,1,222,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,2,4377,鼻咽癌,2,6749,膀胱癌,15,696463,卵巢癌,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣布袋鎮,70~74歲,2008,氣管、支氣管和肺癌,5,806909,肝和肝內膽管癌,7,194980,結腸、直腸和肛門癌,17,549528,胃癌,0,0,口腔癌,2,29221,女性乳癌,3,60808,食道癌,0,0,胰臟癌,1,0,非何杰金氏淋巴瘤,0,0,前列腺(攝護腺)癌,0,0,白血病,1,339787,子宮頸及部位未明示子宮癌,4,32296,鼻咽癌,1,2026,膀胱癌,11,224921,卵巢癌,2,36005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉義縣布袋鎮,75~79歲,2008,氣管、支氣管和肺癌,5,443956,肝和肝內膽管癌,12,638486,結腸、直腸和肛門癌,10,854823,胃癌,3,1202426,口腔癌,3,124235,女性乳癌,0,231,食道癌,0,0,胰臟癌,2,39146,非何杰金氏淋巴瘤,2,366327,前列腺(攝護腺)癌,0,0,白血病,0,0,子宮頸及部位未明示子宮癌,3,17071,鼻咽癌,1,520373,膀胱癌,10,967323,卵巢癌,0,2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
