地區,年份,醫師,護理師,各鄉鎮歷年人口數,每萬人醫師數,每萬人護理師數
東區,2004,431,1182,132115,32.62309352,89.46750937
西區,2004,229,291,138226,16.56707132,21.05247927
朴子市,2004,188,643,44057,42.6719931,145.9472955
布袋鎮,2004,7,5,32480,2.155172414,1.539408867
大林鎮,2004,138,604,35309,39.08351978,171.0612025
民雄鄉,2004,28,11,72451,3.864680957,1.518267519
溪口鄉,2004,7,4,17273,4.052567591,2.315752909
新港鄉,2004,12,8,35815,3.350551445,2.233700963
六腳鄉,2004,3,6,27939,1.073767851,2.147535703
東石鄉,2004,3,6,29399,1.020442872,2.040885744
義竹鄉,2004,5,7,22303,2.241850872,3.138591221
鹿草鄉,2004,5,3,17727,2.820556214,1.692333728
太保市,2004,61,136,34597,17.63158655,39.30976674
水上鄉,2004,14,8,55276,2.532744772,1.447282727
中埔鄉,2004,15,7,48157,3.114811969,1.453578919
竹崎鄉,2004,35,93,40576,8.625788644,22.91995268
梅山鄉,2004,8,5,22874,3.497420652,2.185887908
番路鄉,2004,2,3,11958,1.672520488,2.508780733
大埔鄉,2004,0,4,3524,0,11.3507378
阿里山鄉,2004,2,11,6188,3.232062056,17.77634131
東區,2005,423,1308,128921,32.8107911,101.4574817
西區,2005,230,309,142780,16.1086987,21.64168651
朴子市,2005,220,732,44463,49.47934237,164.6312664
布袋鎮,2005,8,5,32274,2.478775485,1.549234678
大林鎮,2005,149,616,34938,42.64697464,176.3123247
民雄鄉,2005,32,10,72556,4.41038646,1.378245769
溪口鄉,2005,7,8,17371,4.02970468,4.605376777
新港鄉,2005,14,7,35724,3.91893405,1.959467025
六腳鄉,2005,3,5,27787,1.079641559,1.799402598
東石鄉,2005,3,4,29374,1.021311364,1.361748485
義竹鄉,2005,5,7,22407,2.23144553,3.124023743
鹿草鄉,2005,3,4,17661,1.69865806,2.264877414
太保市,2005,51,167,35066,14.54400274,47.62447955
水上鄉,2005,15,9,54533,2.75062806,1.650376836
中埔鄉,2005,16,8,48069,3.328548545,1.664274272
竹崎鄉,2005,25,88,40130,6.229753302,21.92873162
梅山鄉,2005,6,5,22778,2.634120643,2.195100536
番路鄉,2005,4,3,12051,3.31922662,2.489419965
大埔鄉,2005,0,2,3733,0,5.357621216
阿里山鄉,2005,2,12,6186,3.233107016,19.3986421
東區,2006,460,1422,128482,35.80268053,110.676982
西區,2006,234,370,143882,16.26332689,25.71551688
朴子市,2006,239,708,44329,53.91504433,159.7148593
布袋鎮,2006,8,7,31667,2.526289197,2.210503047
大林鎮,2006,162,660,34666,46.73166792,190.3882767
民雄鄉,2006,30,16,72836,4.118842331,2.19671591
溪口鄉,2006,7,2,17051,4.105331066,1.172951733
新港鄉,2006,12,7,35488,3.381424707,1.972497746
六腳鄉,2006,3,5,27645,1.085187195,1.808645325
東石鄉,2006,4,3,28978,1.380357513,1.035268134
義竹鄉,2006,5,5,22020,2.270663034,2.270663034
鹿草鄉,2006,5,5,17529,2.852415996,2.852415996
太保市,2006,61,162,35180,17.33939738,46.04889142
水上鄉,2006,14,9,54061,2.589667228,1.664786075
中埔鄉,2006,15,9,48219,3.110806943,1.866484166
竹崎鄉,2006,25,72,39721,6.293899952,18.12643186
梅山鄉,2006,7,6,22515,3.109038419,2.664890073
番路鄉,2006,3,3,11885,2.524190156,2.524190156
大埔鄉,2006,0,3,3900,0,7.692307692
阿里山鄉,2006,2,12,6151,3.251503821,19.50902292
東區,2007,462,1489,128497,35.95414679,115.8781917
西區,2007,225,440,144578,15.56253372,30.43339927
朴子市,2007,273,716,44222,61.73397856,161.9103614
布袋鎮,2007,9,8,31372,2.868800204,2.550044626
大林鎮,2007,152,704,34382,44.20917922,204.7583038
民雄鄉,2007,30,17,72762,4.123031253,2.336384376
溪口鄉,2007,6,3,16812,3.568879372,1.784439686
新港鄉,2007,12,6,35363,3.393377259,1.696688629
六腳鄉,2007,2,3,27327,0.731876898,1.097815347
東石鄉,2007,4,3,28761,1.390772226,1.04307917
義竹鄉,2007,6,5,21880,2.742230347,2.285191956
鹿草鄉,2007,4,5,17512,2.284148013,2.855185016
太保市,2007,50,125,35669,14.01777454,35.04443635
水上鄉,2007,14,9,53498,2.616920259,1.682305881
中埔鄉,2007,16,8,48039,3.330627199,1.665313599
竹崎鄉,2007,31,68,39460,7.856056766,17.23264065
梅山鄉,2007,7,6,22332,3.134515493,2.686727566
番路鄉,2007,3,2,11778,2.547121752,1.698081168
大埔鄉,2007,0,2,4011,0,4.986287709
阿里山鄉,2007,2,12,6165,3.244120032,19.46472019
東區,2008,500,1619,128284,38.97602195,126.2043591
西區,2008,226,394,145509,15.53168533,27.07736291
朴子市,2008,308,760,44281,69.55579142,171.6311736
布袋鎮,2008,9,4,30888,2.913752914,1.295001295
大林鎮,2008,159,671,34101,46.62619865,196.7684232
民雄鄉,2008,31,21,72641,4.267562396,2.890929365
溪口鄉,2008,7,4,16695,4.192872117,2.395926924
新港鄉,2008,12,16,35149,3.414037384,4.552049845
六腳鄉,2008,3,4,27041,1.109426427,1.479235235
東石鄉,2008,4,3,28399,1.408500299,1.056375224
義竹鄉,2008,6,4,21671,2.768677034,1.845784689
鹿草鄉,2008,4,4,17429,2.295025532,2.295025532
太保市,2008,13,16,35896,3.621573434,4.45732115
水上鄉,2008,13,9,53130,2.446828534,1.693958216
中埔鄉,2008,11,8,47840,2.299331104,1.672240803
竹崎鄉,2008,30,92,39155,7.661856723,23.49636062
梅山鄉,2008,7,6,22184,3.155427335,2.704652001
番路鄉,2008,3,4,11619,2.581977795,3.44263706
大埔鄉,2008,0,2,4434,0,4.51059991
阿里山鄉,2008,2,13,6178,3.237293623,21.04240855
東區,2009,512,1721,127736,40.08267051,134.7310077
西區,2009,222,455,146125,15.1924722,31.13772455
朴子市,2009,304,909,44326,68.58277309,205.0715156
布袋鎮,2009,8,5,30824,2.595380223,1.62211264
大林鎮,2009,173,766,33982,50.90930493,225.4134542
民雄鄉,2009,31,27,72793,4.258651244,3.709147858
溪口鄉,2009,7,3,16563,4.226287508,1.811266075
新港鄉,2009,13,15,34995,3.714816402,4.286326618
六腳鄉,2009,3,4,26890,1.115656378,1.487541837
東石鄉,2009,4,5,28224,1.41723356,1.77154195
義竹鄉,2009,7,5,21617,3.238192164,2.312994403
鹿草鄉,2009,3,3,17405,1.723642631,1.723642631
太保市,2009,15,18,36210,4.142502071,4.971002486
水上鄉,2009,13,10,52562,2.473269662,1.902515125
中埔鄉,2009,10,7,47790,2.092487968,1.464741578
竹崎鄉,2009,33,99,38962,8.469791078,25.40937324
梅山鄉,2009,7,7,22049,3.174747154,3.174747154
番路鄉,2009,3,4,11730,2.557544757,3.410059676
大埔鄉,2009,0,4,4572,0,8.748906387
阿里山鄉,2009,2,13,6222,3.214400514,20.89360334
東區,2010,509,1761,125297,40.62347861,140.5460626
西區,2010,248,487,147093,16.86008172,33.10830563
朴子市,2010,317,1016,44093,71.89349783,230.4220625
布袋鎮,2010,9,8,30216,2.978554408,2.647603918
大林鎮,2010,169,782,33635,50.24528021,232.495912
民雄鄉,2010,32,27,72539,4.411420064,3.722135679
溪口鄉,2010,7,3,16269,4.302661503,1.843997787
新港鄉,2010,12,15,34676,3.46060676,4.32575845
六腳鄉,2010,2,3,26379,0.758178854,1.137268282
東石鄉,2010,4,3,27741,1.441909088,1.081431816
義竹鄉,2010,7,5,21129,3.312982157,2.366415827
鹿草鄉,2010,4,3,17232,2.321262767,1.740947075
太保市,2010,15,18,36685,4.088864659,4.90663759
水上鄉,2010,12,10,52274,2.295596281,1.912996901
中埔鄉,2010,12,9,47579,2.522121104,1.891590828
竹崎鄉,2010,33,71,38608,8.547451305,18.38997099
梅山鄉,2010,8,6,21634,3.697882962,2.773412222
番路鄉,2010,3,4,11684,2.567613831,3.423485108
大埔鄉,2010,0,3,4649,0,6.453000645
阿里山鄉,2010,3,13,6226,4.818503052,20.88017989
東區,2011,526,1806,124495,42.2506928,145.0660669
西區,2011,258,583,147031,17.54731995,39.65150206
朴子市,2011,323,1025,43895,73.58469074,233.5117895
布袋鎮,2011,10,5,29664,3.371089536,1.685544768
大林鎮,2011,139,743,33207,41.85864426,223.7480049
民雄鄉,2011,34,28,72451,4.692826876,3.864680957
溪口鄉,2011,6,3,16015,3.746487668,1.873243834
新港鄉,2011,13,17,34231,3.797727206,4.966258654
六腳鄉,2011,3,4,25903,1.158167008,1.544222677
東石鄉,2011,4,4,27202,1.470480112,1.470480112
義竹鄉,2011,7,7,20653,3.389338111,3.389338111
鹿草鄉,2011,4,3,17022,2.349900129,1.762425097
太保市,2011,15,21,36673,4.090202601,5.726283642
水上鄉,2011,12,11,51793,2.316915413,2.123839129
中埔鄉,2011,14,8,47291,2.960394155,1.691653803
竹崎鄉,2011,32,94,38179,8.381571021,24.62086487
梅山鄉,2011,8,6,21171,3.778753956,2.834065467
番路鄉,2011,3,4,11881,2.52503998,3.366719973
大埔鄉,2011,1,3,4554,2.195871761,6.587615283
阿里山鄉,2011,3,14,6157,4.872502842,22.7383466
東區,2012,547,1793,124242,44.0269796,144.3151269
西區,2012,275,619,146978,18.71028317,42.11514648
朴子市,2012,326,1167,43855,74.3358796,266.104207
布袋鎮,2012,11,7,29244,3.761455341,2.393653399
大林鎮,2012,180,746,32917,54.68299055,226.6306164
民雄鄉,2012,36,27,72286,4.980217469,3.735163102
溪口鄉,2012,8,3,15823,5.055931239,1.895974215
新港鄉,2012,13,18,33830,3.842743127,5.320721253
六腳鄉,2012,3,4,25356,1.183151917,1.577535889
東石鄉,2012,4,4,26713,1.497398271,1.497398271
義竹鄉,2012,7,8,20158,3.472566723,3.968647683
鹿草鄉,2012,4,3,16832,2.376425856,1.782319392
太保市,2012,15,22,36946,4.059979429,5.954636497
水上鄉,2012,12,12,51497,2.330232829,2.330232829
中埔鄉,2012,14,8,47025,2.977139819,1.701222754
竹崎鄉,2012,37,92,37923,9.756612082,24.2596841
